id_course,ville,depart,arrivee,duree_estimee,distance,prix_eco,prix_confort,prix_confort_plus,heure_plage,disponibilite_vehicules,heure_plage_imputed,heure_num,is_pointe,is_nuit,dispo_ordinal,ville_encoded,vitesse_kmh,log_distance,log_duree,log_prix_eco
4126,Yaounde,Auberge Bleu Odza,D'eleveur,46.0,15.89,3300.0,3500.0,,19h–20h,jaune,0,19,1,0,1,1,20.726086956521737,2.826721730819709,3.8501476017100584,8.101980731853192
4127,Yaounde,Polyclinique André Fouda,La Colombe,6.0,5.622,500.0,650.0,900.0,07h–08h,vert,0,7,1,0,0,1,56.22,1.8903974391250544,1.9459101490553132,6.2166061010848646
4128,Yaounde,Nkom-Kana,Nkolndan,56.0,5.158,3250.0,4850.0,,08h–09h,gris,0,8,1,0,0,1,5.526428571428572,1.8177520495023087,4.04305126783455,8.086717920303906
4129,Yaounde,Chambre de Commerce,"Mairie de Yaoundé 5, Essos",7.0,2.238,550.0,,,06h–07h,vert,0,6,0,0,0,1,19.18285714285714,1.1749558552554433,2.0794415416798357,6.311734809152915
4130,Yaounde,Santa Barbara Solen,Carrefour Messamendongo,36.0,23.293,3500.0,3750.0,5200.0,09h–10h,vert,0,9,1,0,0,1,38.821666666666665,3.1901882430039463,3.6109179126442243,8.160803920954665
4132,Yaounde,Chapelle Manguiers,Marché Mokolo,20.0,7.772,1300.0,1900.0,2450.0,15h–16h,vert,0,15,0,0,0,1,23.316000000000003,2.1715648305556416,3.044522437723423,7.170888478512505
4133,Yaounde,Obili,Awae Escalier,45.0,10.921,2050.0,2750.0,,19h–20h,gris,0,19,1,0,0,1,14.561333333333332,2.4783015507358646,3.828641396489095,7.62608275807238
4134,Yaounde,Lycée de Nkoleton,Hôpital Général De Yaoundé,11.0,5.039,4950.0,,,02h–03h,jaune,0,2,0,1,1,1,27.485454545454544,1.798238435325764,2.4849066497880004,8.507344855361422
4135,Yaounde,Playce carrefour,Stade Maracana,27.0,7.359,1650.0,2350.0,3000.0,14h–15h,vert,0,14,0,0,0,1,16.35333333333333,2.123338802717019,3.332204510175204,7.409136443920128
4136,Yaounde,Playce carrefour,Château d'Eau de Ngoa Ekelle,12.0,8.229,850.0,1150.0,1500.0,14h–15h,vert,0,14,0,0,0,1,41.144999999999996,2.2223507002834397,2.5649493574615367,6.7464121285733745
